origin,status,los angeles ,phoenix,san diego,san francisco,seattle
Alaska,on time,497,221,212,503,1841
Alaska,delayed,62,12,20,102,305
AM west,on time,694,4840,383,320,201
AM west,delayed,117,415,65,129,61
